feature,mean_abs_shap_all_targets
target_speed,0.14260213622168735
speed_t,0.14195096848044758
tls_color_t,0.10180751495010443
dist_tls_t,0.09340673299539967
time_loss_t,0.06837526846723889
leader_speed_t,0.062138593047296166
leader_gap_t,0.04721592053264813
vehicle_type_ICE,0.02860666496186647
action,0.028417298612389754
acceleration_t,0.027450234360679903
is_stopped_t,0.023753377023199115
vehicle_type_HEV,0.022262527729521
source_policy_DDQN,0.021767421981398017
waiting_time_t,0.021639215497163678
source_policy_DDPG,0.021046484236002628
vehicle_type_EV,0.020890280131269
source_policy_DQN,0.020471495348050817
