feature,mean_abs_shap
target_speed,0.23944054349668475
speed_t,0.2266327815844071
vehicle_type_ICE,0.10763107586919796
acceleration_t,0.06961531963418409
vehicle_type_EV,0.06940955028191235
action,0.060389198084542774
time_loss_t,0.05499584954127667
source_policy_DDQN,0.0500179941678911
vehicle_type_HEV,0.04939038272467994
leader_speed_t,0.04578836888287328
source_policy_DDPG,0.0454555225580414
dist_tls_t,0.04413882652590278
source_policy_DQN,0.04400934239432971
tls_color_t,0.03875625251379533
is_stopped_t,0.03310839058457079
waiting_time_t,0.024800108805247398
leader_gap_t,0.01527674091139597
