feature,mean_abs_shap
leader_speed_t,0.7748634800540309
time_loss_t,0.07932189202893385
speed_t,0.07781203763801142
leader_gap_t,0.044752398167586874
vehicle_type_ICE,0.03426510708259173
dist_tls_t,0.03113725391745956
target_speed,0.027962389647022686
vehicle_type_EV,0.01978414206945276
is_stopped_t,0.016529333195004964
tls_color_t,0.015498858471963365
vehicle_type_HEV,0.013296329882578216
acceleration_t,0.011189466864750489
waiting_time_t,0.010403043330305133
action,0.009735201968214435
source_policy_DDQN,0.007860086450383183
source_policy_DDPG,0.007597482995120678
source_policy_DQN,0.006702045710418189
