feature,mean_abs_shap_all_targets
target_speed,0.39968721535129037
speed_t,0.3670659802874219
time_loss_t,0.12482472200689988
dist_tls_t,0.10506816662806355
tls_color_t,0.08619108144838707
leader_speed_t,0.08591962064865241
vehicle_type_ICE,0.06270129962620068
leader_gap_t,0.05985466670956594
vehicle_type_EV,0.03864363165506449
is_stopped_t,0.02991011855328458
vehicle_type_HEV,0.028391563730578783
action,0.023188127228433792
source_policy_DDQN,0.017587394239466408
source_policy_DQN,0.01719797641775119
waiting_time_t,0.016600028192301986
source_policy_DDPG,0.01614231993488689
acceleration_t,0.011563834433218628
