feature,mean_abs_shap
target_speed,0.7748623649150213
speed_t,0.10388381961116777
time_loss_t,0.035942845649172585
source_policy_DQN,0.0357517306311347
source_policy_DDQN,0.033246762871570086
is_stopped_t,0.021146204861767912
source_policy_DDPG,0.0210758047019687
vehicle_type_ICE,0.018744006244084982
dist_tls_t,0.017997054052948644
leader_speed_t,0.014289471605987578
action,0.014197249280805726
vehicle_type_HEV,0.012587466527469948
leader_gap_t,0.011960079992315345
vehicle_type_EV,0.011665518927943541
acceleration_t,0.009276699073984741
tls_color_t,0.007820854378410914
waiting_time_t,0.0057968524556960424
